Температура,Деформация,Время,Напряжение,Угол_град,d_Деформация,d_Время,Скорость_деф
72.25,0.0,123.127,44.5169,0.0,0.0,0.23299999999998988,0.0
72.75,0.0,123.359,44.5217,0.0,0.0,0.23199999999999932,0.0
72.75,0.0,123.592,44.5178,0.0,0.0,0.2330000000000041,0.0
73.0,0.0,123.825,44.5233,0.0,0.0,0.2330000000000041,0.0
72.75,0.0,124.057,44.5166,0.0,0.0,0.23199999999999932,0.0
72.75,0.0,124.29,44.5199,0.0,0.0,0.2330000000000041,0.0
73.25,0.0,124.523,44.5188,0.0,0.0,0.23299999999998988,0.0
73.25,0.0,124.755,44.5188,0.0,0.0,0.23199999999999932,0.0
73.5,0.0,124.988,44.5186,0.0,0.0,0.2330000000000041,0.0
73.75,0.0,125.221,44.5178,0.0,0.0,0.2330000000000041,0.0
73.75,0.0,125.453,44.519,0.0,0.0,0.23199999999999932,0.0
74.0,0.0,125.686,44.5152,0.0,0.0,0.2330000000000041,0.0
73.75,0.0,125.919,44.5197,0.0,0.0,0.23299999999998988,0.0
74.5,0.0,126.151,44.5189,0.0,0.0,0.23199999999999932,0.0
74.75,0.0,126.384,44.5208,0.0,0.0,0.2330000000000041,0.0
74.5,0.0,126.617,44.5221,0.0,0.0,0.2330000000000041,0.0
74.75,0.0,126.849,44.5173,0.0,0.0,0.23199999999999932,0.0
75.0,0.0,127.082,44.5136,0.0,0.0,0.23299999999998988,0.0
75.75,0.0,127.315,44.5159,0.0,0.0,0.2330000000000041,0.0
75.25,0.0,127.547,44.5203,0.0,0.0,0.23199999999999932,0.0
75.25,0.0,127.78,44.5193,0.0,0.0,0.2330000000000041,0.0
76.0,0.0,128.013,44.5195,0.0,0.0,0.2330000000000041,0.0
76.25,0.0,128.245,44.5209,0.0,0.0,0.23199999999999932,0.0
76.5,0.0,128.478,44.5201,0.0,0.0,0.2330000000000041,0.0
76.0,0.0,128.711,44.5156,0.0,0.0,0.2330000000000041,0.0
76.5,0.0,128.943,44.5173,0.0,0.0,0.23199999999999932,0.0
77.0,0.0,129.176,44.5197,0.0,0.0,0.23299999999997567,0.0
77.25,0.0,129.409,44.5192,0.0,0.0,0.2330000000000041,0.0
77.0,0.0,129.641,44.5232,0.0,0.0,0.23199999999999932,0.0
77.25,0.0,129.874,44.5117,0.0,0.0,0.2330000000000041,0.0
77.5,0.0,130.107,44.5171,0.0,0.0,0.2330000000000041,0.0
77.75,0.0,130.339,44.5194,0.0,0.0,0.23199999999999932,0.0
78.0,0.0,130.572,44.5219,0.0,0.0,0.2330000000000041,0.0
77.5,0.0,130.805,44.5165,0.0,0.0,0.2330000000000041,0.0
78.0,0.0,131.037,44.5202,0.0,0.0,0.23199999999999932,0.0
77.75,0.0,131.27,44.5143,0.0,0.0,0.2330000000000041,0.0
78.5,0.0,131.503,44.5197,0.0,0.0,0.23299999999997567,0.0
78.75,0.0,131.735,44.515,0.0,0.0,0.23200000000002774,0.0
78.75,0.0,131.968,44.5171,0.0,0.0,0.23299999999997567,0.0
79.0,0.0,132.201,44.5185,0.0,0.0,0.2330000000000041,0.0
79.5,0.0,132.433,44.5225,0.0,0.0,0.23199999999999932,0.0
79.5,0.0,132.666,44.5158,0.0,0.0,0.2330000000000041,0.0
79.75,0.0,132.899,44.5152,0.0,0.0,0.2330000000000041,0.0
79.75,0.0,133.131,44.5175,0.0,0.0,0.23199999999999932,0.0
79.5,0.0,133.364,44.5193,0.0,0.0,0.2330000000000041,0.0
80.0,0.0,133.597,44.518,0.0,0.0,0.2330000000000041,0.0
80.5,0.0,133.829,44.5209,0.0,0.0,0.23199999999999932,0.0
80.25,0.0,134.062,44.5113,0.0,0.0,0.2330000000000041,0.0
80.75,0.0,134.295,44.5204,0.0,0.0,0.23299999999997567,0.0
80.5,0.0,134.527,44.5244,0.0,0.0,0.23199999999999932,0.0
81.0,0.0,134.76,44.5149,0.0,0.0,0.2330000000000041,0.0
81.5,0.0,134.993,44.5204,0.0,0.0,0.2330000000000041,0.0
